sepal_length,sepal_width,petal_length,petal_width,flower_name
5.1,3.5,1.4,0.2,hibiscus
4.9,3,1.4,0.2,hibiscus
4.7,3.2,1.3,0.2,hibiscus
4.6,3.1,1.5,0.2,hibiscus
5,3.6,1.4,0.2,hibiscus
5.4,3.9,1.7,0.4,hibiscus
4.6,3.4,1.4,0.3,hibiscus
5,3.4,1.5,0.2,hibiscus
4.4,2.9,1.4,0.2,hibiscus
4.9,3.1,1.5,0.1,hibiscus
5.4,3.7,1.5,0.2,hibiscus
4.8,3.4,1.6,0.2,hibiscus
4.8,3,1.4,0.1,hibiscus
4.3,3,1.1,0.1,hibiscus
5.8,4,1.2,0.2,hibiscus
5.7,4.4,1.5,0.4,hibiscus
5.4,3.9,1.3,0.4,hibiscus
5.1,3.5,1.4,0.3,hibiscus
5.7,3.8,1.7,0.3,hibiscus
5.1,3.8,1.5,0.3,hibiscus
5.4,3.4,1.7,0.2,hibiscus
5.1,3.7,1.5,0.4,hibiscus
4.6,3.6,1,0.2,hibiscus
5.1,3.3,1.7,0.5,hibiscus
4.8,3.4,1.9,0.2,hibiscus
5,3,1.6,0.2,hibiscus
5,3.4,1.6,0.4,hibiscus
5.2,3.5,1.5,0.2,hibiscus
5.2,3.4,1.4,0.2,hibiscus
4.7,3.2,1.6,0.2,hibiscus
4.8,3.1,1.6,0.2,hibiscus
5.4,3.4,1.5,0.4,hibiscus
5.2,4.1,1.5,0.1,hibiscus
5.5,4.2,1.4,0.2,hibiscus
4.9,3.1,1.5,0.1,hibiscus
5,3.2,1.2,0.2,hibiscus
5.5,3.5,1.3,0.2,hibiscus
4.9,3.1,1.5,0.1,hibiscus
4.4,3,1.3,0.2,hibiscus
5.1,3.4,1.5,0.2,hibiscus
5,3.5,1.3,0.3,hibiscus
4.5,2.3,1.3,0.3,hibiscus
4.4,3.2,1.3,0.2,hibiscus
5,3.5,1.6,0.6,hibiscus
5.1,3.8,1.9,0.4,hibiscus
4.8,3,1.4,0.3,hibiscus
5.1,3.8,1.6,0.2,hibiscus
4.6,3.2,1.4,0.2,hibiscus
5.3,3.7,1.5,0.2,hibiscus
5,3.3,1.4,0.2,hibiscus
7,3.2,4.7,1.4,daffodil
6.4,3.2,4.5,1.5,daffodil
6.9,3.1,4.9,1.5,daffodil
5.5,2.3,4,1.3,daffodil
6.5,2.8,4.6,1.5,daffodil
5.7,2.8,4.5,1.3,daffodil
6.3,3.3,4.7,1.6,daffodil
4.9,2.4,3.3,1,daffodil
6.6,2.9,4.6,1.3,daffodil
5.2,2.7,3.9,1.4,daffodil
5,2,3.5,1,daffodil
5.9,3,4.2,1.5,daffodil
6,2.2,4,1,daffodil
6.1,2.9,4.7,1.4,daffodil
5.6,2.9,3.6,1.3,daffodil
6.7,3.1,4.4,1.4,daffodil
5.6,3,4.5,1.5,daffodil
5.8,2.7,4.1,1,daffodil
6.2,2.2,4.5,1.5,daffodil
5.6,2.5,3.9,1.1,daffodil
5.9,3.2,4.8,1.8,daffodil
6.1,2.8,4,1.3,daffodil
6.3,2.5,4.9,1.5,daffodil
6.1,2.8,4.7,1.2,daffodil
6.4,2.9,4.3,1.3,daffodil
6.6,3,4.4,1.4,daffodil
6.8,2.8,4.8,1.4,daffodil
6.7,3,5,1.7,daffodil
6,2.9,4.5,1.5,daffodil
5.7,2.6,3.5,1,daffodil
5.5,2.4,3.8,1.1,daffodil
5.5,2.4,3.7,1,daffodil
5.8,2.7,3.9,1.2,daffodil
6,2.7,5.1,1.6,daffodil
5.4,3,4.5,1.5,daffodil
6,3.4,4.5,1.6,daffodil
6.7,3.1,4.7,1.5,daffodil
6.3,2.3,4.4,1.3,daffodil
5.6,3,4.1,1.3,daffodil
5.5,2.5,4,1.3,daffodil
5.5,2.6,4.4,1.2,daffodil
6.1,3,4.6,1.4,daffodil
5.8,2.6,4,1.2,daffodil
5,2.3,3.3,1,daffodil
5.6,2.7,4.2,1.3,daffodil
5.7,3,4.2,1.2,daffodil
5.7,2.9,4.2,1.3,daffodil
6.2,2.9,4.3,1.3,daffodil
5.1,2.5,3,1.1,daffodil
5.7,2.8,4.1,1.3,daffodil
